grf_right_y,grf_right_z,grf_left_y,grf_left_z
-0.000426158453278861,-0.00397317110058483,-0.0007572991630675,-0.817050343751436
0.000407944780047594,0.00028546970325896,-0.00785256102439863,-0.80070483637083
0.000407944780047594,0.00028546970325896,-0.000814058323653137,-0.823180839009342
0.000390850511525572,0.0333579919922634,-0.00365216515136359,-0.824772982195255
0.000407944780047594,0.00028546970325896,-0.0171048078825383,-0.815577239308396
0.00529292291707306,-0.0161655334495495,-0.00876075744124241,-0.81137368370073
0.000407944780047594,0.00028546970325896,-0.0127340995601156,-0.809335145229047
0.000407944780047594,0.00028546970325896,-0.0109177171423181,-0.791851329869728
0.000407944780047594,0.00028546970325896,-0.00393597583413464,-0.811604321265044
0.000407944780047594,0.00028546970325896,-0.0117691417507098,-0.826365125381167
0.000407944780047594,0.00028546970325896,-0.0176156328878876,-0.814215733686798
0.000407944780047594,0.00028546970325896,-0.0159127836711042,-0.816484909722795
0.000407944780047594,0.00028546970325896,-0.0198861481097417,-0.816827146108552
0.000407944780047594,0.00028546970325896,-0.0182967576947581,-0.822273168594944
0.000407944780047594,0.00028546970325896,-0.0216457639270322,-0.81818865173015
0.000407944780047594,0.00028546970325896,-0.0257325871674695,-0.818530888115906
0.000407944780047594,0.00028546970325896,-0.0229512469402661,-0.816142673337038
0.000407944780047594,0.00028546970325896,-0.0281166355903377,-0.814438931329683
0.000407944780047594,0.00028546970325896,-0.0263570197730472,-0.811604321265044
0.000407944780047594,0.00028546970325896,-0.0268678447783965,-0.820911662973346
0.000407944780047594,0.00028546970325896,-0.0336793160447445,-0.808650672457534
0.000407944780047594,0.00028546970325896,-0.034417207452122,-0.810696650850646
0.000407944780047594,0.00028546970325896,-0.0381635054887313,-0.805585424828581
0.000407944780047594,0.00028546970325896,-0.0361768232694125,-0.813873497301041
0.000407944780047594,0.00028546970325896,-0.0305006096139916,-0.823523075395099
0.000407944780047594,0.00028546970325896,-0.0383338052902525,-0.818642486937349
0.000407944780047594,0.00028546970325896,-0.0402069543085571,-0.791509093483971
0.000407944780047594,0.00028546970325896,-0.043669419342631,-0.810242815643446
0.000407944780047594,0.00028546970325896,-0.0448614435540651,-0.816938744929994
0.000407944780047594,0.00028546970325896,-0.0474724839797473,-0.818530888115906
0.000407944780047594,0.00028546970325896,-0.0399231213060217,-0.825903850252539
0.000407944780047594,0.00028546970325896,-0.0457696347629638,-0.82114230053766
0.000407944780047594,0.00028546970325896,-0.0490618743947308,-0.829765169474448
0.000407944780047594,0.00028546970325896,-0.0426476949327181,-0.831580510303245
0.000407944780047594,0.00028546970325896,-0.0550786132539799,-0.819892393737505
0.000407944780047594,0.00028546970325896,-0.0502538242069507,-0.817504178958636
0.000407944780047594,0.00028546970325896,-0.0465642927708485,-0.831015076274603
0.000407944780047594,0.00028546970325896,-0.0524675728282977,-0.819550157351748
0.000407944780047594,0.00028546970325896,-0.0467345925723697,-0.825903850252539
-0.00840773156108081,0.00784207085053164,-0.0512755486168636,-0.825569053788211
0.000407944780047594,0.00028546970325896,-0.0617765513193137,-0.819096322144548
0.000407944780047594,0.00028546970325896,-0.0550786132539799,-0.81966175617319
-0.00306573763862864,-0.0174224092343442,-0.0723343206222708,-0.810585052029203
0.000407944780047594,0.00028546970325896,-0.0642172919434747,-0.805927661214338
-0.0238052424860915,-0.00259053359992665,-0.0542839552460952,-0.809104507664733
0.000407944780047594,0.00028546970325896,-0.0621171509223561,-0.816827146108552
0.000407944780047594,0.00028546970325896,-0.0632523341340688,-0.816596508544237
0.000407944780047594,0.00028546970325896,-0.0584276194862539,-0.833172653489158
0.000407944780047594,0.00028546970325896,-0.0718234212177072,-0.805019990799939
0.000407944780047594,0.00028546970325896,-0.06234414292517,-0.816373310901352
0.000407944780047594,0.00028546970325896,-0.0656931491574441,-0.814557970072555
0.000407944780047594,0.00028546970325896,-0.0710287632098226,-0.781063443796957
0.000407944780047594,0.00028546970325896,-0.067793364577777,-0.791166857098214
0.000407944780047594,0.00028546970325896,-0.0728451456276201,-0.773348245274567
-0.0206628882743625,-0.0238328217112559,-0.073866870037533,-0.797527989920435
-0.0546003467109842,-0.0306203463485287,-0.0722207874212567,-0.804335518028425
-0.0447961719154361,-0.0660660063019811,-0.074888594447446,-0.800139402342188
-0.0750884599265139,-0.0850458356258088,-0.0813594661107515,-0.792759000284127
-0.0369403275735492,-0.0919587348170505,-0.0798836832959963,-0.792193566255485
-0.034991997119888,-0.101889025540408,-0.0845947903435828,-0.783332619832953
-0.0292101049102448,-0.112321802978096,-0.085332830549389,-0.780498009768315
-0.0314726131226691,-0.109053168088815,-0.0727883790271131,-0.770163958902743
-0.0229253964867868,-0.107419674392886,-0.0856162915558529,-0.764033463644836
-0.0214798822469404,-0.0991237011141692,-0.077102343068793,-0.762560359201796
-0.0336094172816396,-0.120491742703875,-0.0778402344761705,-0.756318265122448
-0.0242452066731795,-0.129038959339757,-0.0813026995102444,-0.752003110693339
-0.0230511005402405,-0.13268404739043,-0.0777834678756635,-0.749391698271585
-0.0177719421695409,-0.165867116756587,-0.0792592506904186,-0.748707225500072
-0.0163892799564214,-0.186355394721859,-0.0826648747247712,-0.753595253879251
-0.0131840737179656,-0.213756571878373,-0.0923709962216937,-0.710570188252467
-0.0146924399845388,-0.227331950652403,-0.0781807596799986,-0.710793385895352
