Time [sec],Distance 0 [m],Angle 0 [deg],Size 0 [m],Distance 1 [m],Angle 1 [deg],Size 1 [m],Distance 2 [m],Angle 2 [deg],Size 2 [m],Distance 3 [m],Angle 3 [deg],Size 3 [m]
4.5000,6.93888871,-10.57870234,0.17679337,6.48467932,-10.14390147,1.09479862,6.28745102,36.43562071,0.62392051,2.40563532,48.69979484,0.91105114
4.6000,7.25978774,-8.73741917,0.19712820,6.57295628,-8.70993087,1.09333988,5.93836848,34.57531445,0.63010195,2.75415964,41.90639528,0.88400466
4.7000,7.71916383,-10.74001564,0.17832862,6.78049011,-7.57218173,1.08542585,6.55753604,35.92706788,0.64185714,3.73220402,36.10766885,0.89238354
4.8000,7.51148057,-10.66490388,0.17648398,6.72733534,-6.52572704,1.09258421,3.97407182,38.02043630,0.88567827
4.9000,7.84055887,-9.92912982,0.18286106,5.88311854,-6.11889543,1.10584805,6.28417728,34.37599050,0.63154961,5.04339627,38.94259574,0.89255952
5.0000,7.82790950,-9.52166190,0.17311667,6.27964238,-5.77624834,1.07330907,6.59604773,32.85773007,0.63265830,5.69543369,40.31526113,0.89646529
5.1000,8.36326381,-6.04122068,0.21212308,6.38724992,-3.66400346,1.07661342,6.69287828,31.85891381,0.64123899,6.50396330,41.01874475,0.88745254
5.2000,7.89561202,-8.39416477,0.18860823,6.67376012,29.23364969,0.62674367,7.13372243,41.68375900,0.90194587
5.3000,6.07129332,-5.72068150,1.08413602,8.05169519,-4.44471233,0.19652454,7.13079260,30.92536914,0.60903070,8.07969940,41.65715436,0.90556719
5.4000,8.24074362,-6.18073770,0.19229334,5.33653010,-4.51257026,1.07534743,6.95772192,26.35820100,0.63275937,8.95875693,42.77486213,0.90687667
5.5000,8.85261943,-7.41086871,0.18200402,5.35068437,-4.99028038,1.08841805,6.85882195,26.60361753,0.63206048,9.48358410,36.45428435,0.89006316
5.6000,5.20377675,-7.13663689,1.06766050,8.66097645,-6.36961619,0.19414122,7.03902635,26.23869196,0.63944832,9.09859818,33.91173941,0.88451458
5.7000,5.00093007,-5.64340536,1.09342558,8.91819254,-4.35162519,0.17214920,7.26049031,26.73522696,0.64684341,10.30787290,31.84292024,0.90272036
5.8000,4.75173723,-1.50711075,1.07441467,7.02552971,23.80334820,0.63517621,10.83792772,30.54984654,0.89498685
5.9000,8.95948318,-10.98678592,0.18356924,4.50922615,-3.70433307,1.09889679,7.50598165,23.29392357,0.63329417,10.55044403,26.51206970,0.91720976
6.0000,9.00923051,-2.92567489,0.16003969,4.28812118,-1.99278802,1.10186989,7.77811820,24.10495546,0.62098841,10.41126955,25.65950870,0.89882047
6.1000,8.89429160,-6.96566489,0.18132429,4.41741447,-3.99596924,1.06988078,10.14438296,19.08838885,0.87668089,7.18648461,21.89261288,0.62445094
6.2000,4.06927905,-6.83957244,1.06762099,7.48975346,22.17292351,0.61387623
6.3000,9.53273459,-8.42965015,0.17420195,4.19134263,-5.87940668,1.09902641,7.46114375,23.27402857,0.64785026
6.4000,3.75763791,-7.49341137,1.09504654,9.28616126,-5.64342268,0.19547761,7.91000407,18.50761256,0.62464028
6.5000,9.06195595,-6.81515733,0.18044186,3.55084774,-6.37655286,1.09002297,8.15579579,21.01763691,0.63504474
6.6000,3.86430547,-8.62030069,1.08297488,9.19062704,-4.10745305,0.18447610,8.28533887,20.07053872,0.64130915
6.7000,9.46331173,-6.40885242,0.17446685,3.52170256,-6.31144400,1.08733059,8.18536140,16.60792454,0.63398176
6.8000,3.25112616,-9.02701265,1.10383730,9.05081886,-3.71313255,0.18577063,8.59644659,21.33481562,0.63447625
6.9000,3.30180259,-12.33537073,1.09457426,8.81175858,-5.43920445,0.17363529,8.49309271,16.35471718,0.61702715
7.0000,3.29453220,-10.36028036,1.08779909,9.20571115,-6.73053397,0.18571034,8.57875358,19.94069691,0.60864174
7.1000,2.95228199,-12.05632347,1.08144586,8.84361622,-2.64474444,0.20187616,8.58653304,16.58666593,0.64934338
7.2000,2.82641632,-16.11200728,1.11053827,9.02400683,-4.55511296,0.18321867,8.49961972,13.95148818,0.62892886
7.3000,2.96806703,-13.10515612,1.08960982,9.00913698,-2.62845607,0.18747809,8.76566256,17.72958329,0.65554822
7.4000,2.69949243,-23.20654870,1.09891449,8.81347010,-5.54250870,0.19575118,8.56513913,14.12449055,0.61526862
7.5000,2.37234427,-24.76475163,1.07760594,8.86565701,-5.29686191,0.18403620,8.73003849,16.50085530,0.61840459
7.6000,2.29773189,-27.14812713,1.07324173,8.66661858,-4.29040937,0.17111873,8.73092516,13.59087710,0.62770530
7.7000,2.24369066,-33.84406948,1.08706450,8.82582971,-5.52274589,0.17512722,8.42524202,14.66946874,0.61380976
7.8000,2.49045054,-35.82587618,1.08800015,8.42534715,-4.09840383,0.17550027,8.56852300,13.56129378,0.62124983
7.9000,2.34910208,-40.46179262,1.09330224,8.19003843,-2.74204874,0.19018563,8.43958723,12.78437738,0.60428202
8.0000,2.46295366,-45.40662520,1.08609901,8.24957161,-4.13243456,0.18480737,8.57204955,14.64666785,0.62949335
8.1000,2.09999522,-48.75687766,1.09878237,7.85726039,-4.88382011,0.19894952,8.65365721,9.34252625,0.62080953
8.2000,2.29361070,-52.47887486,1.10058923,8.05642685,-5.77815894,0.18822575
8.3000,2.09288170,-55.76122324,1.07845183,7.99194056,-8.02715273,0.18179446,8.50657753,10.97085028,0.62397263
8.4000,2.68304248,-59.33779362,1.09825490,7.59049056,-7.88174431,0.19005453,8.52014626,9.82261829,0.62035501
8.5000,2.29848305,-60.86979513,1.09336445,7.62706661,-11.42385330,0.18476388,8.86057600,7.96184829,0.62453988
8.6000,2.45698965,-62.02097148,1.08452750,7.59151999,-9.08694248,0.16778650,8.48314693,4.35225324,0.64002468
8.7000,2.32137753,-65.04045524,1.10451998,7.14403445,-9.31777843,0.17035844,8.70289729,2.78404270,0.62580164
8.8000,2.90977003,-65.88719976,1.06186730,7.81151891,-11.27291748,0.19179670,8.13089236,4.53961957,0.63028083
